sentence,emotion
body automatically react presence jump back assume defensive stance kyo burst laugh see,joy
damn even,anger
cackle red hard persuade,joy
besides i keeper add smile need make sure everyone stay alive,joy
subtle smile appear lip think prefer kind life,joy
well that disappoint comment scratch head,sadness
arrogant brat,anger
thank command nel say,joy
second silence look like plan something,fear
encounter nox nel become like captain,joy
well could sleep whole time stay mentally drain want say smile instead,sadness
could explain far romania already end call freak girl cut damn i go break bone get,anger
do expect i miss voice much could wait,sadness
feel strange alone still silent ocean stay day shima,fear
hour later receive holographic call cliff face flicker front even though quality be good could see horror expression,fear
draw shaky breath realize still grip seatbelt tightly go die,fear
oh cmon coward,anger
cliff passenger seat horrify car seem accelerate,fear
nel look thrill day confine,fear
back seat jett whose face already white chalk,fear
heave sigh nel stop torment poor soul,anger
turn need least three day go end could participate,sadness
well say could bring two companion guess really do need,sadness
alright do worry ill keep three alive,joy
think ill die reach romania,sadness
could see expression line go alone vast ocean,sadness
careful shinigami nox basis europe,sadness
still middle pacific ocean would take day reach japan fortunately device work well,joy
fortunately everyone seem humdrum safe conclude,joy
lip curve remember terrify expression hour ago,joy
want carry cliff ask chuckle kiddi could even tell joke nel already climb back,joy
jett start walk maybe afraid nel might,fear
see yellow tree say raise voice,anger
something write jett remark tell nel look boulder,fear
follow direction halt path end cave enter ask cliff,fear
take thirty minute finally find exit could see connection cut could hear see anything,sadness
hello nel cliff jett nothing try call avail be respond,sadness
second worry think get bury could leave cave,sadness
throw device raft heave sigh want know go way contact anymore,sadness
hope safe,fear
yeah kid cool,joy
nel excite tell happen meet four tribe,joy
honestly do expect successful shinigami tribe,joy
neoclassical building museum monument scatter city feel like pull back medieval period architecture art around,joy
go inside building vanish sight,sadness
every step take echo room arrive central hall almost get decapitate,fear
sevenfoot tall man demand swing sword,fear
lunge weapon range blade blunt gun,fear
mind suddenly fill angry agonizing voice back shima,anger
rage thirst fill head next thing know polish floor already flood blood,anger
within minute one leave first guy discover hand tremble point sword direction,fear
could take step backward sword already pierce throat,anger
hi greet,joy
do greet back instead seethe rage see scarlet floor lifeless comrade,anger
make first move halt see people come behind,fear
blood run cold see two child girl boy maybe seven ten year old stand front eye vacant feeling,fear
draw deep breath try calm see two make difficult,anger
wave fury stir chest command child attack,anger
heart tighten lurch,anger
look two kid crumble knee collapse,sadness
let rage control,anger
sword bathe blood slash everyone every direction,anger
curse inside head child,anger
take second calm,anger
look around shiver go spine,fear
nel look horrify stare bloodbath expression soften see two kid lie unconscious floor,fear
heave sigh lifeless body pool blood surround,sadness
smile sorry can good keeper,sadness
remain strength walk direction finally together,joy
happen romania seem nervous around,fear
suppress executioner instinct since leave island day ago vow let emotion control lose mission,sadness
see flash since first hold gun several year ago already still bother every time,sadness
go retrieve ask dangerous hand,fear
look dangerous even without weapon do know scary,fear
fail suppress smile hear,sadness
you note,sadness
expression darken,anger
could feel tension shoulder continue play pistol,fear
be terrify see return,fear
think you strong nel cliff remark earn punch nel,anger
even become keeper jett add belong frontline,anger
heave sigh smile,joy
wild kid back know arrive headquarters first thing pick fight command,anger
well raise differently do know act front people,sadness
could continue go say sudden turbulence holograph flicker window plane commander face appear front we,fear
team optimus well do say another mission take priority,joy
four we exchange look nod roger,joy
face flicker disappear send message air suddenly fill tension,fear
jett shuffle gun get ready case commotion break,anger
jett exchange nervous look,fear
mouth hang open see two figure scrunch floor zeno dale bloody like rest executive,fear
von visible gunshot shoulder leg do seem mind fenn bad deep cut hand long gash right leave cheek,fear
lot dangerous headgear invent senshin contain nox leader guess take risk especially dangerous animus,fear
dale could turn invisible second zeno could paralyze nerve person use blood,sadness
mark end nox von say look dale pain expression,sadness
i sure still affect since grow team comrade betray vision belief fight must hard let go home yue say,sadness
start lead aircraft foot heavy burden responsibility,sadness
nox create hatred toward humdrum vilify existence,anger
know silence would bring harm tribe,fear
maybe that one reason fellow agent fall wrong side continue,sadness
speech inform executive currently rest due injury get,sadness
also give new mission team present say would count,joy
first time long time relax mind put wall protect thought,joy
can normal leader grumble,anger
silence fill room must also exhaust mission,sadness
sleep well mutter also slumber,joy
sit groggily pull device pocket message command,sadness
assume already know you say,anger
transpire capture dale zeno already idea want expression harden,anger
yes sir answer,sadness
look intense red eye feel like see blood chamber,fear
commander face darken cell disintegrate get teleport headgear weaken doubt would stop resist effect,anger
raise eyebrow think mission,anger
must look really confuse start snicker,fear
heck talk,anger
slow cliff say grit tooth,anger
already slow nel retort,anger
right mind would laugh nel speed make distressed,anger
go die jett mutter shakily face already pale terror,fear
nel speed curse cry live,fear
could still see scar arm remember almost die fight navis,sadness
lose mother second time would lose dale,sadness
i curious previous life say know we teammate long yet know thing,sadness
life interesting retort,sadness
childhood shima keep secret grateful command do break word,joy
parent still consider traitor i sure people would see different learn,sadness
time like miss point feel like back child,sadness
travel week ago feel alone restless know long would drift middle nowhere,sadness
time kind calm know comrade would probably allow enter island know three would mwaite outside already reassure enough,joy
smile steal snack jetts supply,joy
mentally drain be say inspect sword,sadness
can even imagine i go survive i alone even,sadness
temperature suddenly drop sky turn gray swirl mist thick fog envelop surrounding obscure vision assume defensive stance weapon ready,fear
stand front raft soon say word small raft appear get waft direction turn smile,joy
sorry i one go inside,sadness
return do anything do look stay wait,anger
stare jett smirk you dead anything,anger
could feel chill crawl onto skin keep shiver menacing aura way intense bloodchille last time,fear
ask farallon seem displease presence,anger
delivery retort kind grand prize material make relax bit,joy
chuckle jealous,joy
shut mouth naia,anger
kid ask disgruntle tone,anger
choke back creep fear throat,fear
well want end nox problem quick possible,anger
burst light along shrapnel shell explode wound several executioner do even budge stand two figure appear headgear already destroy draw sword could even check surrounding curve blade scythe already around neck,fear
kyo chuckle menacingly welcome island traitor,anger
lionel ask would want accompany blood chamber decline place would good state mind right,fear
almost swing sword hear voice behind fortunately aristus voice sound familiar able restrain,anger
know almost lose head say get hand sheath,fear
speak everyone act weird,fear
could hear explanation feel something eerie skin tingle feel unfamiliar presence,fear
shinigami feel presence draw dagger,anger
exchange blow try outmaneuver despite use short blade keep attack speed,fear
grumble,anger
thrust sword gash right shoulder,anger
i one ask question retort right,anger
knee buckle strength suck,fear
use sixth sense,fear
stop,anger
hhes shinigami mutter still disorient strange attack,fear
he look someone answer kiyoko that everyone agitate,fear
sorry distress cause tell kiyoko,sadness
smile alright can believe shinigami different use though know couple shinigami like,joy
smile upon hear,joy
exchange look flash subtle smile someone turn tide fight shinigami faction,joy
darwin bow thank,joy
know you mad say kiyoko look direction despise shinigami heart,fear
wish could kill every single one especially cause vince demise want avenge,anger
chuckle softly tell good work bring criminal goodbye naia,joy
reach pocket hold tip break spear smile eye show concern,fear
heart almost sink realize,sadness
hand start tremble feel like child,sadness
spear kill confirm,anger
winced upon hear story remember happen,sadness
draw shaky breath reach spear moment finger touch blade flash memory flood mind,sadness
shinigami annihilate group humdrum head roll ground dungeon shinigami get torture girl whose green eye seethe hatred,anger
okay kiyoko ask worry toneyyes weakly say i i okay thank,sadness
naia call say hello nel,joy
know difficult keep two enter island,fear
ask,anger
what wrong,anger
they worry spend almost three hour,sadness
heh guy become clingy clingy nel retort place give creep,anger
she right jett add,sadness
already tell place be normal oh well leave,fear
i glad you safe nel suddenly say break silence really think you come back we,joy
look keep gaze front,sadness
smile escape lip i keeper say need stay alive safe keep team die,joy
whoa careful cliff cry try balance raft nel you crush jett comment yeah you keeper please do anything dangerous else well die mutter ignore guy comment,fear
chuckle pat back roger captain,joy
smile do leave face drift far away place call home,joy
go home,joy
cry terror anguishweapon clash,sadness
naomis thought flood mind mitsuo collapse knee refuse slump ground even final breath,sadness
heart sink upon see two friend brink death,sadness
ah think time mutter,fear
mitsuo cough blood remain look sky rain fall face,sadness
eye already close could still hear faint voice head run away nathalie mumble smile resignation face please do look back save save do worry always remember nnathalie,fear
assist naomi shout mayu,anger
do look back akira say repeat mitsuo word go forward leave place naomi,fear
please safe,fear
protect everyone order bloodchille tone do want lose another life tonight,anger
reply please end war hideo,fear
safe whisper tap shoulder do worry naomi strong hideo take care son voice falter tear start stream face stay alive memory rest,sadness
time honor death say voice fill grief,sadness
council surely question tie loyalty,fear
rielle miyamoto vince alejandrino hideo say remember name,sadness
walk aimlessly try take everything happen,sadness
foot steer familiar place tear hold back stream silently face,sadness
knee buckle sword grip tightly drop ground,sadness
be strong enough save friend,sadness
be strong enough accept death,fear
be strong enough keep tear fall,sadness
do want see lifeless body,sadness
hard stay focus back mind still think akemi mitsuo,sadness
instinct rage take summon spear along sword swing weapon direction,anger
spear pierce shinigami chest like mitsuo sword puncture other throat kill instantly,anger
pull weapon body blood splatter onto face clothe,anger
want kill second time see despair eye moment realize must hideo feel early,anger
draw shaky breath find tremble anger grief,anger
alive,fear
ttell groan pain she sshe still alive be,fear
yyou,sadness
tell cry anger,sadness
stifle sob slowly shake head akemi sshe she dead,fear
mutter pain expression face can true sshe,sadness
try stand despite amount blood lose grab shirt collar ddont lie ill fuck kill,anger
bleed much physically emotionally drain help,fear
would conceal presence even tracker mayu say suggest let akemi live cabin though strong mask completely,sadness
lucky mutter look sky cover firework,anger
walk laten forest see pool blood ground,fear
okay,sadness
he council house reply could see worry eye want honor death do think,sadness
someone,anger
do move,anger
you dead hour do stop say,anger
stop ma,anger
do mean voice trail see intense green eye dimlylit space,fear
save ask,sadness
you friend answer friend,sadness
can leave,sadness
do care ill kill to,anger
you kill comrade warn summon longsword suffer ask break silence,anger
do want anyone see cry anymore happy suddenly ask,fear
mutter reminisce time still,sadness
save please rielle cry clutch arm one eye miss blood gush eye socket want live michiko,fear
yeah do need another patient say hint melancholy voice,anger
need rest reply happen lose control sixth sense hear everything everyone around must much,sadness
smile mayu quite busy take care,sadness
do worry we do worry family ill take care you back,sadness
will allow mutter look sky do know anymore,sadness
need sleep say look bag eye,fear
might dream daughter softly say come subtle smile might want wake,sadness
take care,sadness
please look mumble meow return,sadness
even spirit tablet shrine mayu mumble quietly sit front grave,sadness
world cruel say i sorry alone darkest time you home voice crack try hold back emotion stir inside rest akemi you alone anymore,sadness
might dream daughter might want wake,sadness
sir ise sir hideyoshi call old man shoot glare,sadness
wow do know someone could look leader tribe like,fear
man downright frightening,fear
stop sir hideyoshi say cold tone eld look rattle,anger
old man,anger
call someone old man refer head shima,anger
sir ise please say second later sir kyo collapse knee pant,sadness
trust old guy mutter sir kyo remain bow,anger
dare dishonor death dare reject existence place,anger
wonder sixth sense exactly act like,anger
ill let feel wrath jikko clan make sure never see peace you yearning,anger
kill shinigami make suffer seethe anger tear place call we traitor do care traitor eye jikko enemy,anger
thank acknowledge grandson say see hideo shoulder flinch,sadness
be friend place would already ruin old guy say,sadness
ill give chance listen young lad,sadness
time i make sure would live life deserve,joy
sigh dress wound,sadness
ah michiko greet,joy
smile listen mother okay,joy
hideo call plop couch near desk,anger
shrug training,fear
rest tiring,sadness
stay awake day return,sadness
read thought suddenly say you get careless,sadness
change verdict reply they allow we bury,fear
mayu reply heave sigh can take care right,sadness
nod promise,fear
none say,anger
will allow,anger
i confident enough let go,sadness
hey do worry will lose softly say,fear
that say,sadness
will promise ill try cle life even death would well say kayo kaya iwan saka hoy do underestimate time mas lakas sayo,sadness
chuckle lightly right,joy
leave say cut,joy
thank say smile upon hear,joy
wwhy ask difficulty can mmove body,fear
be murmur try hard cry,sadness
enemy suddenly say do act nice hate,anger
hinga nang lalim sarado isip enemy make suffer reply help you friend,sadness
scoff friend bullshit,anger
ah right do use term like,sadness
glare kind scary elite subordinate,anger
piss senshin do fuck know anything,anger
say fuck,anger
could shut growl ugly laugh wow guwapo ugly rin,anger
protect huh mutter search book shop,anger
yup first protect mean think that parent first take care,sadness
shit curse breath tiger linger tree,anger
kill protect that way,anger
michiko protect,fear
i scare sleep,fear
,anger
michiko carefully call could you,fear
tell careful,fear
come usual training injury retort,sadness
doctor,fear
you either get kill get experiment like doctor rielle,sadness
want blame someone council besides tribe bad,anger
move murmur,sadness
upper body say hoarse voice,sadness
sure you okay stay cabin,sadness
stop make babysitter,anger
hideo mayu reply can,sadness
dangerous michiko mayu warn,fear
give smile oh know love danger,joy
can teach retort do want teach,anger
will teacher,anger
throw thing announce slowly rotate right wrist,anger
imprison ask,anger
hope walk soon murmur,sadness
oh wow i scare flatly comment,fear
i go kill one day murmur,anger
hope will come back dead chuckle,fear
will reply i,sadness
do worry will yet,sadness
weakle snap you,fear
who weakle,fear
sigh smile finally,joy
he use hand,anger
lapit find,fear
excuse arawaraw ako nagpapractice,anger
you go great instructor,joy
open door feel something strange,fear
five year tragedy another wave devastation plow we time crumble wish death well option,sadness
maam michiko beam wave hand excitedly,joy
sorry can take,sadness
break remember say,sadness
wait pilot ask alright hope i do tomorrow reply,fear
sorry can understand russian reply shift gaze back humdrum,sadness
will hurt whisper promise,sadness
family weakness be,sadness
give let we kill painlessly one reaper say reload glock,sadness
do dare talk seethe anger pain swell chest will die can,anger
do worry add you see soon afterlife,anger
she dead can dead,fear
fuck senshin elite shout anger,anger
shit curse breath,anger
i sorry quietly sob think friend,sadness
sorry ask eye still focus shinigami front,sadness
daughter damn aiwa dead,sadness
find ask try distract devastate thought,fear
feel way suddenly say want kill people make way,sadness
mmichiko sob do show please vivien daughter come please save ddont let see please,sadness
do come vivien please akira repeatedly mumble break heart piece,fear
i sorry i sorry michiko please ttake care,sadness
come one akira please mumble be time joke around come open eye,sadness
please daughter do please,fear
please leave we alone first,fear
hideo softly call stop,fear
snap silent tear fall eye,anger
let go,anger
stay please do go,fear
hug get tight can lose sob,sadness
want kill right,anger
fault voice waver should allow everyone leave fault,sadness
fault softly say,sadness
i i tired hear promise mumble,anger
be okay murmur look confirmation,sadness
still return favor huh,sadness
tough day huh suddenly comment,sadness
do want go do want see lifeless body else might break,fear
take everything away,anger
sure do need yuuki treat horrible wound,sadness
wellbee return hear footstep near,sadness
should promise mayu add,sadness
nno,sadness
i sorry sob try keep dagger dig skin i really sorry,sadness
untiunti nang hina katawan give let overwhelm hear faint voice hey come wake,fear
do cry ask scowl return,sadness
interject hand note several name write,sadness
scoff follow akemis path,anger
curious,fear
i mutter smirk return,sadness
tell taunt,fear
careful blurt halt do look back,fear
hey call time turn around save life please do die,sadness
save you allow die unless i one,fear
yeah mumble,fear
say inhale sharply see naomi emerge forest teenager look like akemi,sadness
welcome back hideo greet,joy
yes please let reply besides debt pay,sadness
course ill find haruka,anger
worry ask,sadness
scoff would,anger
hell mumble wonder would ever come back would stay true word would die,anger
rainie mention name make hideo presence strong take reaper,fear
michiko call control tone gather everyone,sadness
eye burn rage council war reply,anger
can bear lose,sadness
sigh okay tell you ready add need,sadness
yeah hint pain voice time will run away,fear
do worry say exchange blow shinigami along way,fear
mutter i die anyway,anger
who die,sadness
wow scoff i hallucinating,sadness
voice falter still disbelief be hallucination wwhy you dead,fear
would return say should,anger
really live remark step inside,joy
yeah say feel comfortable,joy
mighty michiko finally like someone huh,joy
that,sadness
give confuse look huh,anger
do know raise eyebrow,sadness
let sleep tonight say remove hood cloak head,fear
ask look smirk suddenly appear do tell miss senshin,anger
stare like,fear
ignore question happen,fear
be you elite right,fear
can face mutter,fear
you go give status,sadness
huh mean,anger
brat,anger
tsk hope give,sadness
merry christmas mumble sleep well,joy
heck,anger
want stay taunt,fear
mutter roll eye,sadness
do tell directly do want part rebellion,fear
think brat will,anger
see mutter goodbye guess,sadness
hint fear face mmaam michiko,fear
ill go say miss know find,sadness
think,sadness
wait,anger
hideo naomi call control manner calm,anger
good luck tease,fear
haruka stop order could believe,anger
piss keith retort,anger
chuckle grumble calm,anger
curious be smirk you get careless thought,anger
do shinigami dislike,fear
dead flatly say,sadness
do worry do kill add lip curve upward die natural cause,fear
heck could say word nonchalant expression seryoso ba ano sabi,anger
practically live together take care i,sadness
okay stop yell completely fluster,anger
that shame say steer room,anger
time vivien shout,anger
hey greet,joy
that work hiroshi grunt hayate notice we,sadness
that definitely scary,fear
damn brat,anger
break arm mutter earn frown accidentally,sadness
groggily ask eye still close,fear
ah shit forget i meet keith curse breath,anger
liar,anger
human creature change among live well ability adapt,joy
end th century unique speciation human know within race erityian name befit origin capability child special blood,joy
perfectly blend normal human save destroy civilization live,sadness
wear emiko reach son arm eld mmy son give son,anger
monster yell attempt leave house fast,anger
shall never talk eye peculiarity anybody hear,fear
people also throw hate we be brother,anger
know hard father tell we hate father kind man want we like,joy
much greedy wicked take advantage father kind also naïve,anger
quick say cut ryo leave place,anger
father you,fear
ffather call people people head,fear
truth always hate human want share sentiment bad,anger
matter hard live well sho ryo live prove sin alive different,joy
wwhat happen ryos body stiffen recall transpire pass father,fear
father,fear
father cry ryo run toward shotaro,sadness
allow see sho remark,fear
perhaps really monster father eye eye even mystery surround mother death clan,sadness
brother return think treat differently we people different normal always regard outcast freak monster,anger
ryo,fear
continue father unfinished business,anger
ryo tell many,fear
kill attack we first,anger
need leave village ryo,fear
say clan proud lineage samurais,joy
quietly leave house,fear
soak hand blood brother,fear
already surround,fear
let die,anger
see world stay take back steal we clan honor wealth father pride farewell brother,anger
promise even god death stop father become one,anger
tribe name dead avoid parent give name want gone,sadness
ishida kid murmur eye twinkle excitement,joy
protect run away especially danger always loom sometimes toughen,sadness
nno plead,fear
see beam nothing afraid,joy
need hide eye anymore add,joy
never experience summer warmth presence must feel like natsue,joy
reach hand smile i happy thank,joy
farewell brother,sadness
return see,sadness
sspare next guy plead,fear
you ask mercy,anger
pplease fam,fear
already late implore thing strip away we,anger
sstay away i go kill,anger
go stand night,anger
aapologie lord,sadness
mmy apology lord this,fear
even power someone like remain burakumin death,sadness
fate bear low class,sadness
apology lord,sadness
one day great power natural element pass onto worthy great ancestor czeslav foreknown,joy
sstay away,fear
yllka mother softly call cup face look hurt,fear
hold firmly,anger
they march ready,fear
you go burn forest,fear
douse fire,anger
eye murmur they become light color,fear
well do yllka,joy
espion hard,fear
must strong enough infiltrate escape basis wit gather information conduct counterintelligence enemy,fear
country serve forsake enemy track,sadness
normal be curse mother,sadness
child listen different difficult mean curse perhaps one ancestor,sadness
mind unfettered favor humanity continue progress whether like receive consciousness god power natural force,sadness
see father tell go ahead,sadness
great espion ever grace world,joy
perhaps end line,sadness
ii help father let get here,fear
truly sorry make way save we,sadness
guy look surprised relieve smile grow face know really alike name hagen introduce,joy
hagen join shall keeper guardian world secret,joy
escalate quickly could realize civilian,fear
do ishida,fear
iit look shinji still disbelief,fear
grimace news,anger
precise single strike mentally note aim neck plan immediately thwart samurais side,anger
,anger
kill,anger
could great retainer,anger
get,fear
mmonster kill,anger
pay price life,anger
announce appellation purpose intruder,anger
river territory,anger
chief,fear
must disembark,sadness
chief,fear
must,anger
eddas stare enough silence crew shall bring hagen morgan rest must survive thing go well go,anger
truly center world,fear
edda grin soon see people onboard greeneye one participate,joy
please finally meet,joy
pardon late,fear
however attendant seem harbor animosity toward we,anger
ishida remember verdict,anger
worry lord safety,fear
brother return glower face,sadness
want get back home soon possible,joy
agent must good infiltrate even farthest land,anger
yllka clench fist intruder village plan,anger
power possess change world edda state,joy
incredible terrifying hence choose stay shadow suppose do,fear
human awful,anger
vast home reduce several village cramp single mountain,anger
take resource invade land,anger
trust,anger
enough nonsense brother ryo exclaim,anger
kindness something give anyone nothing spare human wish keep harm,anger
building new nation,joy
instead hide world create safe place people like we observe world distance,joy
suspect meet futile,anger
wish join hand people share belief besides already land rule,anger
please ryo talk,sadness
farewell hope see,anger
go well chief,sadness
go back well chief,fear
safe,fear
let go home,anger
hate real winter,anger
hey careful,fear
you slip,fear
tthank yyou,joy
how huntre tribe hear group agitator rise,fear
three late,anger
still nosy outsider be,anger
give tribe intelligence agency do think it strange do know,anger
rainie smile oh though i start take work,joy
good krystal comment summit official everyone be leader,joy
hatred something quell easily sure know,anger
hope pave path toward dream least rainie continue,sadness
everyone fall silent second nel laugh break tension despite young quite timid one way word,joy
wait leader you definitely mature one,joy
say shorttempere nel retort,joy
smile escape lip upon see three,joy
alala ' iyon sabi noon huntre war lakas loob want like nasa gitna noon wala siya kita hina dami patay paligid,joy
really share dad maybe want brag sabay ngiti ngiti rin think iyon,joy
sabay abot green flower hawak fill mind happy positive thought,joy
hmm bpm definitely excite sabay ngiti,joy
talaga thank ngiti naman si riye nilagay loob bag iyon book,joy
glad you awake hiro,joy
minute wala iyon bigat sikmura medyo ayos damdam,joy
akemi do go way sabay turo akane harap naririnig ako wild animal think wild bear boar area iyon,fear
oh nice place akalae nageexist ganito,joy
bigla naman tingin si nel kay krystal alam anytime pangyayari nang masama bigla ulit taas tension paligid,fear
imply something krystal say coolyand mean literally buo ice table lapag kamay,anger
bigla tahimik tangi iyon tunog lamang hangin nagcicirculate loob naririnig balat damdam tension taas balahibo balot goose bump pati sina akane hiro iyon sama nina darwin krystal nel alert word even slight movement cause ruckus,fear
slightly shake instinctively aim arrowedbullet gun darwin since feel pressure direction,fear
bigla ulit damdam iyon pressure time mas lala pressure three strong,fear
well say make point well narinig bose hiro isip lingon tingin iyon,joy
ngiti naman bawa burden loob ayaw kasi labas rude sabi dunong sabi really want establish close relationship tribe,joy
sorry behavior bigla noon lalaki nasa likod nel she hard time past day inyo tuloy nabubuhos sabay hawak balikat nel nagflinch si nel,sadness
baka bigla bago naman mood noon pa babae krystal hawak balikat krystal,fear
gamit black dimension bilang bese past month masyadong kontrol bukas sara noon sabi sobra panganib,fear
bigla balik tension loob room bili tibok puso para alam ako asa,fear
they fine katunayan mas marami shinigami sali noon alam buhay naglelead guess parent reputation good back,joy
ayos say smile,joy
yes ayos devastate first month war nakapagmove rin naman ako tuto ayos,joy
okay say bigla naman siya tingin sige una nice see rainie,joy
shit alam maglaland,fear
yoyo diyan heck guy,anger
they papa ngiti naman sama,joy
iyon lamang sabi alam tingin kay mama hiro ngiti yes you go,joy
sense presence tingin kay hiro diretso lamang tingin seryoso expression,fear
tingin paligid damdam ako iba scan people around we see several suspiciouslooke person observe we,fear
tingin lapit building pa manman sundan rin tingin,fear
sense presence tingin kay hiro diretso lamang tingin seryoso expression,fear
build miniature plane name kaoru mukha gawa talaga project iyon,joy
hiro tap face he respond do dare die hiroplease gise,fear
suddenly eye flutter groan dilat tuloy tulo luha takot salamat buhay,joy
i sorry sabi noon napayakap rin,sadness
sobra takot pangyayari noon siya untiunting nawawalan malay kanina para bagay pasok ulit isip pangyayari noon war death people know flash mind,fear
takot ako wala naman importante i already lose mother friend comrade teacher do want lose someone anymore,sadness
curse cry daan taon sanay lakas protekta taon halaga sumosoporta still can protect,anger
protect bulong hiro,joy
i still alive bumitiw harap do say you weak you,joy
think end place look tulala,fear
let keep eye surrounding first need wait something they come right tango naman confirmation,fear
call fatal point reason puwede ka patay lala injury mo,fear
alam dito japan si naomi rainie course one great seven want take sagot darwin,fear
sunod baka bigat lamang injury subok galaw braso konte galaw lamang sobra sakit damdam balikat think will able use right limb,sadness
ninyo ba sigaw tingin sila immediately reach hiros darwin mind warn,anger
tingin naman lalaki atake he move anymore,joy
take lakas kilabot noon damdam sabay bukas bilang part black dimension,fear
sina krystal nel tabi nel word give little strength,joy
damdam naman bigla tuloy bukas sarado black dimension paligid lamang nunthey send reinforcement really know must know plan,fear
say reckless one dagdag naman nel titig nang masama krystal tawa lamang ngiti naman papaano tulong,joy
man plan mess sabay upo nel kaliwa sunod naman si krystal,anger
oh cute eyeglassesweare guy help we nel naggesture eyeglass kamay saka nilagay mata heck ride fast think i throw,joy
sama inyo pa gawa niyo i rather die hand,anger
die noon lalaki bigla siya sugod,anger
do year ago naman papa kita expression damdam sakit salita binitiwan,sadness
hey go sigaw nel noon bigla ako takbo,fear
tigil lakad higpit hawak arrow lalo lakas ingay sabay noon bili tibok puso alam date,fear
nga daughter rielle problem,anger
really find frustrating label traitor tanggap senshin rin kilala shinigami nga nasasaktan gaano sakit damdam,anger
sakit iyak alam ayaw iyon pangyayari exasperating know hardship,sadness
okay tanong darwin noon lapit,fear
yyeah way si hiro sama noon pasok dito wala,fear
sandali lamang iyon halo emosyon see baby hold mother she smile make feel special,joy
tingin lamang chip takot alam base datum kalap darwin kilala si mama,fear
ganito naman naman dahil i always drag mess think i strong enough defend turn protect come back one protect hate hate feel,anger
ancestor ryou sigaw taas sandata let victory mark start another era shinigami another round thunderous roar fill surrounding,joy
bigla tuloy ako naguilty man lamang ulit salamat reason survive fight be,sadness
una titig picture lagay halos sikip dibdib iyon,sadness
alala pangyayari noon bago sila lamang want feel hold mother last moment want remember can,sadness
kaya basa pa file lagay sobra bigat agad damdam maybe visit former school help lessen pain,sadness
nice see bati pansin wala siya suot contact kita green eye,joy
thank keep company saka ngiti,joy
nagenjoy naman worry,joy
dito harap puntod kanina upo dito lamang siya sama ngayon araw nasa tabi alam bilang buwan siya isa noon nasa tiyan lamang want return love,sadness
really painful i sure ganito rin damdam papa lalo nat patay mama,sadness
ill listen tingin saglit siya ngiti,joy
carry someone whole body bleed hear cry see president face man hold say something bigla putol salita tulo luha do know feel pain i also malay iyak rin pala,sadness
see die woman froze hear halos lubog puso alam tukoy can remember thing say die smile,sadness
do need hide tear tingin tahimik lamang siya luha tingin puntod mama,sadness
freak sixth sense ubo nga,anger
hello saya bati gemma,joy
want celebrate victory course end truce,joy
wow good point sound like humdrum politician tawa naman sila noon sabi iyon nel medyo hiya ngiti rin mukha agree,joy
thank rinig isip rainie,joy
tingin lapit grave nina akira mayu place flower front grave pray,sadness
war end three day ago tantei high still grieve senshin lose live madadagdag naman grave,sadness
can believe reunion right michiko tulo luha damdam ako presence likod tingin doon rin si hideo likod tingin lamang langit,sadness
gulat naman noon bigla tulong luha mata para bagsak puso noon iyon,sadness
hi mitsuo welcome atama family saya akira,joy
tingin naman kay mitsuo halos salubong kilay rude guy,anger
member iyon babae sabay ngiti nang loko,joy
really famous sabay tawa michiko nga marami tingin,joy
right hiroshi laki mo naman titig pogi ka tulad kay hideo mitsuo dead face,joy
ba bata rin papansinin okay enough rudeness,anger
good boy vince sabay tawa noon tanda para asar,joy
wait sabay hawak balikat do touch tingin kay michiko nagsummon agad glove,fear
gise hingal pawis pawis nightmare damn effective binigay gamot doktor miwako,anger
bigla naman narinig bose nina sir kyo sir tora lakad nagpanic will tolerate kind rulebreake,fear
tayo muna scratch paper pen rin pigil ngiti can believe i get excite learn something new indeed thrill,joy
winidthraw sir kyo short blade kita naman mukha mitsuo inis,anger
time naman bago expression would accept say something like strange odd brave describe stupid wow guy get gut,anger
automatic galaw paa sipa mesa feel pain grit tooth glare,anger
tell call stupid cool head stay iyon martsa,anger
well guy frustrating inis,anger
tapos mitsuo please stop hit tapos tulala lamang si naomi kanina sagot okay gosh mo lamang iyon itsura kanina tawa talaga,joy
long time since fight seriously hina mitsuo time devour enemy,joy
knee give feel pain course leg nagpanic baka ito opportunity haruka atake mas pili takbo direksyon sama,fear
sorry sadya hangin bago iyon trajectory target,fear
feel responsible happen tigil naman noon narinig iyon kay mitsuo,sadness
mas bili kilos sana kayo dito can even protect i man let two girl get hurt front,sadness
do expect gentleman tatak impression shorttempere cold saksi pagige care wow,joy
layo kaba sigaw definitely feel rage know cross line,fear
stay away lamig saka martsa punta pinto,anger
hell sigaw pansin tulak papupo bench usual glare raise brow,anger
do get wrong idea lamig,anger
sure night cold body tremble bonechille memory dahan kalma titig nang masama asa,fear
yes that symptom write book sabi noon saglit tawa si mayu naman taka,joy
you really funny dagdag masama tingin,anger
you make hard leave sabi noon ako damdam alam hinto lamang lakad lingon keep appear do know deal that want end let stop,sadness
like breathe voice trail frustrate desperate can understand thing end say word bawi salita iyon alam,sadness
alala naman nga alam kailangan tigil pretty sure oneside affection statement confuse confusion one thing hate,anger
kain lamang hintay bilang ora gulat lamang nang bigla bukas pinto akemi catch breath stare we shed see ghost,fear
thank everything bigla tingin stare sky relax expression,joy
do answer make frustrate,anger
