sentence,emotion,predicted_emotion
"I suddenly remembered the first time I encountered their dimension. In our clan, the kids are taught basic tracking techniques and by the time they reach fifteen, they have to experience it firsthand. Well, in my case, since there was a war that time, I saw and felt the Black Dimension earlier than expected.",neutral,neutral
"Maging sa Senshins, hindi agad dini-discuss ang tungkol sa lugar na 'yon. The professors usually introduce them in their last year to prepare them for the final requirement since most of the families deal with cases involving humdrums.",neutral,neutral
Hindi ko na natapos ang sasabihin ko kay Hayate dahil biglang sumugod ang dalawa papunta sa amin.,neutral,neutral
"""A sword, huh?"" he muttered and he cut his thumb while rushing to those two Shinigamis. He propelled towards them without anything but before they could attack him, his favorite weapon —his broadsword—appeared straight on his right hand and came into contact with the enemy's sword.",neutral,neutral
"With the way they attack, I'm pretty sure they are Reapers. Buti na lang at hindi sila Elite dahil paniguradong mahihirapan kami kung lumabas sila rito lalo na't maraming humdrums sa kabilang street.",neutral,neutral
The other one lunged at me but I immediately summoned my twin shortswords and countered his spear.,neutral,neutral
He attacked me again and I could only defend myself. I couldn't attack him because of the length of his spear and his strength alone pushed me outside of my comfort zone.,neutral,neutral
"""A Shinigami tracker, I see,"" he said and I stepped backward as he overwhelmed me with his immense physical strength.",neutral,neutral
"""Good eyes, Reaper,"" I responded and used my agility to spin and target his back but despite his large body, he was fast. To find the tattoo on my nape even when I was moving . . . he has good eyes.",neutral,joy
He attacked me again and I could only defend myself. I couldn't attack him because of the length of his spear and his strength alone pushed me outside of my comfort zone.,neutral,neutral
Bigla naman akong nakaramdam ng matinding presensya at akala ko ay muling bumalik ang taong 'yon pero hindi ko inasahan ang mga sumunod na nangyari. Blood has splattered on my face and I saw the tip of a sickle protruding on the Shinigami's chest.,neutral,neutral
"This time, si Hayate naman ang may seryosong mukha. Nakatitig siya kay Kana at inayos niya ang salamin niya. Alam kong nagulat din siya sa mga pangyayari at ngayon ay naging curious siya kay Kana. Honestly, I thought she was a Shinigami a while ago. She just went straight to him and targeted his vital organ with a fatal blow.",neutral,neutral
"""We found a common point among the victims,"" Hiroshi said and a hologram appeared before our eyes. ""They were all employees from a private hospital.""",neutral,neutral
"""Wait, the doctor and the nurse, yes but the first victim wasn't,"" sabi naman ni Warren. ""He was working as a security guard for a firm.""",neutral,neutral
"We found the connection among the three victims three years ago, as well as to the suspects. According to the reports, Rick Torres also worked in the same hospital for a year and he was seen in the vicinity where the second victim's body was found while Ariel Andrada was caught in the CCTV in the place where the third victim was brutally murdered, one hour earlier.",neutral,neutral
"Speaking of Ariel Andrada, Kana seemed to know that guy. From what I heard, he's an elusive S-class and international criminal because of that incident.",neutral,neutral
"""So . . . is Rick Torres the murderer?"" tanong ni Kana.",neutral,neutral
"We grabbed some sandwiches from a café one block away from the crime scene and it was quite filled due to people who wanted to know what happened. I couldn't read a humdrum's mind, just like any other Erityian, but I could infer what one was thinking based on their expressions, habits and external factors. We were trained for that, after all.",neutral,neutral
Pagkatapos no'n ay umuwi muna kami sa apartment na tinutuluyan namin para mag-prepare. I equipped myself with a taser and a handcuff and Hayate did the same.,neutral,neutral
"He projected the information above the laptop and expanded it, occupying the whole room. The hologram was a city map, with various landmarks highlighted in different colors, but something was amiss. On the right side, the hologram of an area flickered uncontrollably and I realized it was three blocks away from the crime scene.",neutral,neutral
"""Well, according to his their co-workers, he had a big argument with Dr. Samantha Dimas, the second victim, and that was one of the reasons why he was on probation for months. Being a suspect worsened his status but it wasn't reported whether he was working on another hospital or became unemployed,"" sagot naman ni Hayate pero gaya kanina ay may kakaiba sa mukha niya. He seemed perturbed about this case and he had already closed his mind, not allowing any of his thoughts to be heard.",neutral,neutral
"Hindi naman siya pinansin ni Kana at nagpatuloy lang siya sa paglalakad. Hinayaan ko na lang sila dahil normal na ang ganitong sagutan, lalo na't may galit sila sa isa't isa.",neutral,neutral
Napunta kami sa isang apartment complex at dito nanggagaling ang bulk ng hits na naka-display ngayon sa relo ni Hiroshi. We went to our designated positions and carefully approached the place.,neutral,neutral
Dahan-dahan akong lumapit sa isang unit na itinuro nina Hayate at Kana. I was just a few meters away from the door when I heard Hayate's voice behind me.,neutral,neutral
"""Did you get heavier?"" Hayate grunted while I lay above him.",neutral,fear
"All of a sudden, the man found us and was about to fire at our direction again but I dashed at him as my twin swords appeared on my hands.",neutral,neutral
Napakunot naman ang noo ko nang marinig ko 'yon. The murderer's behavior was regarded a psychopathic but this guy seemed to be experiencing anxiety attack.,neutral,neutral
"""Kana,"" sabay tingin ko sa kanya at tumango naman siya. She approached Rick but he backed away and continued throwing rocks at us so she had no choice but to sedate him. Hiroshi and Hayate moved him inside and the four of us started investigating his apartment.",neutral,neutral
"As expected, he has medical kit and supplies that can be used as murder weapons. Hayate immediately tested them with luminol while Kana examined the tools and gadgets lying on his table and bed. I was about to search Rick's body but Hiroshi suddenly called our attention. Pagtingin namin ay nandoon na siya sa harap ng laptop ni Rick at agad niyang ipinakita ang naka-display sa screen.",neutral,neutral
"""His recent searches include the serial murders and a food poisoning incident that both happened three years ago,"" sabi ni Hiroshi.",neutral,neutral
"""Food poisoning?"" tanong ko naman.",neutral,neutral
"""According to an article, several college students were rushed to the hospital due to food poisoning and it seemed like we finally found the connection between the four victims.""",neutral,neutral
"True enough, on that day, the four victims were present. The latest victim, Gabriel Corpuz, was among the students who were rushed to the hospital where the nurse, Krista Conny, and the Dr. Samantha Dimos were working and the regular guard was relieved by RJ Nieta.",neutral,neutral
"""Is that his phone?"" tanong ni Kana. ""How did you unlock it?""",neutral,neutral
"""He's a doctor,"" sagot naman ni Hayate.",neutral,neutral
"""Stethoscope,"" he said and he went back to the lock screen, unlocked it by connecting the four dots, forming an inverted triangle with a line below it, and looked at us as if that should be a general knowledge.",neutral,neutral
"After that, he showed us the conversation of Rick and an unknown number three years ago.",neutral,neutral
"""Wait, let me access the footage that day,"" sabi ni Hiroshi at nagsimula na siyang mag-type ng kung anu-ano. Several holograms of alphanumerics also appeared around him and I didn't attempt to read them since I couldn't understand those things.",neutral,neutral
Matapos ang ilang minuto ay tumayo si Hiroshi at nag-project sa harapan namin ang video na sinasabi niya. Ambulances and cars simultaneously arrived at the hospital with a lot of students.,neutral,neutral
"Some were unconscious and some were clutching their stomachs and heads. As the influx of food poisoning victims increased, a man with two little girls on his arms, tried to enter the hospital but the guard, RJ Nieta, stopped him.",neutral,neutral
"We couldn't see his face but it seemed urgent as he grew impatient and shoved the guard away. When he got inside, he ran towards a nurse and a doctor but they were busy accommodating two food poisoning victims, one of which was Gabriel Corpuz. The guard he shoved searched for him and when he found him, he dragged him outside, not allowing him to pass anymore.",neutral,neutral
Agad namang nag-type si Hiroshi at may isa pang video na nag-appear sa harapan namin. It was the news right after the murder in which a teacher saved a kid from being hit by a car.,neutral,neutral
"""Hiroshi.""",neutral,neutral
"""News?""",neutral,neutral
"""That guy . . ."" sabay turo ko sa news video at napatingin ako sa footage three years ago. ""He was there.""",neutral,neutral
"""Yes. He's one of the food poisoning victims who were accommodated by Kristy and Samantha,"" Hayate confirmed.",neutral,neutral
The four of us immediately left the house after securing Rick since he might still get targeted by the killer. We assumed that he would be on the move because of the news earlier and the probability of him monitoring Rick would be low if that was the case.,neutral,neutral
"""If the murderer doesn't have any information about the students, he can't kill them. Maybe that's the reason why he didn't have any movement for three years. However, both of them appeared on national television. Gabriel for being one of the topnotchers and this guy for his heroic deed,"" Hayate explained as we dashed away from this zone.",neutral,neutral
"""Got his details,"" sabi naman ni Hiroshi habang tumatakbo kami. ""He's Luke Borja, 22 years old, a fresh graduate and currently teaching high school students.""",neutral,neutral
"""Do you know where he is right now?"" tanong ko.",neutral,anger
"""He's currently teaching at St. Joseph Academy, about four streets away from here.""",neutral,neutral
"""Well, then, let's visit that school.""",neutral,neutral
"Good thing was, there were a lot of trees surrounding this school so staking out wasn't a problem. The faculty room was about fifty meters away from us but we couldn't just trespass.",neutral,neutral
Napatingin naman kaming tatlo kay Hiroshi dahil bigla siyang tumalon pababa at buti na lang ay walang nakatingin na mga estudyante sa direksyon namin.,neutral,neutral
"Chakushoku? So this school is inhabited with Erityians. Someone from our tribe must be monitoring them. Hiroshi showed his KT's screen and a guy's face was displayed there. Somehow, he reminded me of someone but I couldn't pinpoint who.",neutral,neutral
"""Branch, Castro family,"" I responded.",neutral,neutral
Sinabi namin ang concern namin sa kanya at tinuro naman niya kung nasaan ang Principal's Office para makausap si Mr. Manuel Salas. Naglakad kami sa corridor sa first floor at ang daming estudyanteng nakakalat. Mukhang break time nila kaya naman may ilan kaming nakakasalubong. I could still feel the faint presence of the Black Dimension but I couldn't determine the direction where it was opened.,neutral,neutral
"Kakatok pa lang sana kami pero sakto namang lumabas ang isang middle-aged na lalaki mula sa office. He went out of the room to meet us and the first thing I noticed was how his hair gleamed red like a Custos' eye. A Rua, I thought. Ate Akira and Akane were also from that Senshin clan which was usually depicted as red-haired combatants.",neutral,neutral
"""Ah. So you want to arrest an S-class criminal before he could kill his next victim,"" sabi niya at tumango kami.",neutral,neutral
In-explain naman niya na pwede niya kaming samahang umakyat para i-introduce as teaching assistants at mabantayan ang kilos ni Luke Borja. Hayate and I volunteered while Hiroshi and Kana stayed around the perimeter of the school to see any movement from the outside.,neutral,neutral
"Doon ko naman na-realize kung sino siya. It was the daughter of the main family of Querino Clan. I couldn't remember her name but I knew her face because I saw her once, during the meeting of the main and several branch families, when she was still a toddler.",neutral,neutral
Reina. A tracker like you. The guy beside me is Hayate. We're from Atama family.',neutral,neutral
Mula rito sa posisyon ko ay halatang gusto niyang lumingon ulit sa amin pero hindi niya magawa. Young trackers like her were usually sent to humdrum school,neutral,neutral
"I stared at her back, impressed. For an eleven- or twelve-year old tracker, she had already mastered the basics and could even detect trace presence of the Black Dimension. As expected from the daughter of the Querino clan.",neutral,neutral
Natapos naman ang klase ni Luke at agad namin siyang sinundan pababa. Hinatak namin siya sa isang bakanteng room at tiningnan naman niya kami dahil sa ginawa namin.,neutral,neutral
We informed Kana and Hiroshi about our plan and they both went to their respective positions. I could see the chief's daughter peeking from the corridor above and I seriously wanted to talk to her about those Shinigami's presence but this case should be my priority.,neutral,neutral
Dahil uwian na ay naglakad palabas ng school si Luke at nakasunod naman si Hayate sa kanya habang ako ay nauuna sa kanilang dalawa. Hiroshi stayed inside the campus after placing several demodulators which would emit signals to our KTs when a humdrum's brain waves exhibit an irrational movement similar to a killing intent.,neutral,neutral
"He has been working on reducing them to gadgets that could be carried by Senshins but he couldn't put his theory into reality yet. Kana, on the other hand, hid herself on the huge branches of trees to observe any movements from above.",neutral,neutral
"The serial murderer must be around the area by now, waiting for the right time to attack. Being an S-class murderer, he must have given the police a hard time, seeing that he hadn't been sighted for the last three years. He might be a humdrum but his heinous acts were worthy of Shima imprisonment.",neutral,neutral
"I was surveying the surroundings when I felt my KT's vibration and when I looked behind, a guy in student's uniform walked straight toward Luke.",neutral,neutral
The guy drove his sharp weapon to Luke's body but Hayate shoved him away and I screamed when I saw that thing penetrating his skin. That serial murderer was caught off-guard but he recovered quickly and ran away as if his life depended on it.,neutral,fear
Tinulungan ko siyang tumayo at gaya ng sinabi niya ay hindi niya maigalaw ang katawan niya.,neutral,neutral
"Hinatak ko rin si Luke papunta sa tabi niya at tinawagan si Hiroshi para tulungan ako. However, something wasn't right. Why didn't he kill him right away? Why did he need to paralyze him?",neutral,anger
"Pagkatapos no'n ay agad akong tumakbo sa direskyon kung saan siya tumakas. Around fifty meters from me was Kana, jumping from roof to roof, trying not to lose our target. I followed her on the ground, traversing empty alleys and narrow streets, until I was only a few meters away from them.",neutral,neutral
Idagdag pa ang hawak niyang scalpel at gunting na para bang may ooperahan siya. He pulled out a tranquilizer gun from his back and pointed it at us. That was when I realized he lured us into this enclosed area where he could maximize his weapons.,neutral,anger
We dodged the pointed needles that came out of the muzzle and simultaneously summoning our weapons. Kana swung his sickle but he easily avoided it as he threw syringes at her direction.,neutral,neutral
"He lunged at us, scalpel and syringes on his hands, and had it not for the range of our weapons, he could've easily administered drugs or poisons into our systems. His physical skills weren't that outstanding but what made him dangerous was his medical wisdom and how he could use it against humanity.",neutral,neutral
"I volunteered as a bait since I was faster and more agile than Kana. With the twin swords on my hand, I launched myself to his direction and attacked. He used his scalpel to stop my sword and he must have a strong wrist and arm to thwart my sword with that. I almost tumbled over when he suddenly thrust a huge syringe but Kana managed to take it away from him and I retreated a second after.",neutral,neutral
Bigla namang sumugod si Kana papunta sa kanya habang hawak 'yon at umatras siya nang umatras hanggang sa tumama na ang likod niya sa pader.,neutral,neutral
Kana immediately removed the syringe poking her arm and I was hoping it was just a paralyzing agent but the symptoms weren't the same. She was shivering and she couldn't talk anymore.,neutral,fear
Inalala ko naman ang mga sinabi ni Luke sa amin kanina pero wala akong maalalang makapagbibigay ng clue tungkol sa murderer. Ni hindi ko nga alam kung paano niya nalaman ang pangalan niya.,neutral,neutral
"We were lucky that the nearest one has an Erityian specialist or else, we would be forced to bring her in our own medical facility inside the campus.",neutral,neutral
Napaupo ako sa tabi nina Hiroshi at Hayate na kasalukuyang nagbabantay sa kanya. We got our first criminal but the cost was high.,neutral,neutral
"Hayate and Hiroshi explained everything to me. Apparently, the syringe contained a cholinergic poison which works like a nerve agent. They discovered that Antonio Salazar must have some kind of antidote in case something happened and I was thankful they were both quick thinkers and could keep calm even in that kind of situation.",neutral,neutral
Hindi naman na siya nagsalita matapos no'n. We were all exhausted after what happened today. Hindi ko alam na ganito pala kahirap ang last requirement para maka-graduate. We got trained for this kind of work when we took our Fielding subject but the difficulty of apprehending criminals with A and S ranks exceeded our expectations.,neutral,neutral
Napahiga na lang ako sa sahig nang makapasok kami sa lodge namin dahil sa mga nangyari ngayong araw. Dumiretso naman sina Hayate at Hiroshi sa Japanese table na nasa gitna ng sala. Hayate set up his laptop and communication devices while Hiroshi pulled some wires along with the weapons we summoned while fighting the Shinigamis.,neutral,neutral
Buti na lang at nagawa kong masalo lahat kahit nakahiga pa ako. Bumangon naman ako at sinamahan sila sa table.,neutral,neutral
"""Now that you have summoned your weapons here, the Technology department staffs are probably aware of my research by now.""",neutral,neutral
"Sir Aiwa did a wise decision, I think. Hayate and I grew up with Hiroshi and we know how dangerous his creations could be.",neutral,neutral
I remembered getting chased by mechanical pencils because I pissed him off. Hayate once had to hide in the east side of the forest for a day because he accidentally poked Hiroshi's eye. He made holograms of beasts to chase Hayate and the teachers had to calm him down.,neutral,neutral
"Naalala ko ang nangyari noong oras na 'yon. When the Shinigamis stepped out of the Black Dimension, even though she was with Hiroshi and they were both far away, she rushed into our direction and gave the Reaper a fatal blow.",neutral,fear
"""But after that incident, they didn't allow anyone to leave their island,"" sabi naman ni Hayate. ""She certainly has the disposition of an Executioner but I doubt they would put another one inside the school after what happened to him.""",neutral,fear
"""Come to think of it, we don't know anything about her besides being an FBI agent of the Cyber Division,"" dagdag naman ni Hiroshi.",neutral,neutral
"Tumabi kami ni Hiroshi sa kanya at sinilip ang naka-display sa screen ng laptop niya. According to the source, Ariel Andrada is an S-class criminal because of his international records involving terrorism, murders and illegal trading.",neutral,neutral
"Forces like FBI, CIA and InterPol are all hunting him and is considered as one of the most elusive criminals because he's been on the wanted list for ten years.",neutral,neutral
Matapos ang pag-uusap namin ay kaagad din namang nagpahinga ang dalawa. I'm sure they were drained after all that fighting and running.,neutral,neutral
Kinuha ko ang twinswords ko sa gilid ni Hiroshi. I wore a cloak to conceal them and went outside. This place reeked of musty smell similar to that of the Black Dimension. I wondered if the Shinigamis we had encountered were targeting us or we were just in their way.,neutral,neutral
"I was already striding toward the hospital's direction when I suddenly felt a faint presence. Napahinto ako at agad na hinawakan ang twinswords na nasa magkabilang gilid ko, nag-aabang sa kung anuman ang parating.",neutral,neutral
The tip of his sword appeared right in front of my face and I stumbled upon warding off his attack.,neutral,neutral
"I didn't have any time to devise a plan. The moment I lost my balance, I did the only thing I could do. Using my other feet as the axis, I spun around while holding both my swords, giving him a huge cut on his arm and face, while his sword made a gash on my waist.",neutral,fear
"It's been a week since that incident. Kana was discharged two days after she was admitted but I didn't tell Hiroshi and Hayate what happened that night. For some reason, I couldn't bring myself to inform them about her.",neutral,fear
He placed his KT on the table and a holographic image of the current head technician of the Technology department appeared.,neutral,neutral
"""Hiroshi of Atama family, please see me after you finish your final requirement. And from now you are forbidden to enter our facilities alone, unless you let one of our staffs accompany you all the time. In addition, we will inspect your laboratory to see if you have been doing unauthorized researches. That's all. Good day.""",neutral,neutral
"""Own laboratory in the technology department? A temporary suspension instead of the normal punishments that students must go through whenever they violate rules? He's been privileged since he was born and I'm sure he's been showered with compliments because of his so-called brilliance. It's about time someone reminds him of his shortcomings.""",neutral,neutral
"It was a a noise filter, one that blocks undesirable frequencies and they set the parameters into which they couldn't hear my voice at all.",neutral,fear
"Naging busy naman kami sa kanya-kanya naming working area. Hayate kept tabs on the current wanted list and updated our journal while Hiroshi continued tinkering with the wires and devices on the floor. Kana, on the other hand, was training by herself and assessing the condition of her body.",neutral,neutral
"I stared at her and her image that night resurfaced in my mind. The way she took down the Shinigami was a lot similar to how Kuya Mitsuo used to fight. She might be an Executioner but according to our intels, the Jikko clan became more cautious and didn't send any people outside of Shima after what happened that time.",neutral,fear
"Bigla ko namang naalala si Ate Naomi. Strong Senshins and those who have the disposition of being leaders usually can hear inner voices even if their minds are closed through continuous training and honing their senses to the limits. However, there are people who are born with that kind of ability.",neutral,neutral
Napatingin kaming tatlo kay Hayate. He was staring at the screen of his laptop with a perturbed expression on his face. The three of us walked toward him and saw what he was looking at.,neutral,neutral
"Ever since we came in the world of humdrums, she started getting suspicious. I guess we have to monitor her closely this time.",neutral,neutral
Pagdating naming do'n ay nagkalat na ang iba't ibang grupo para sa kanya-kanya nilang mga trabaho. Police officers were assisting the medical team in saving and helping those who were injured and in critical condition.,neutral,neutral
There were also rescue officers and firefighters who bravely marched into the building to see if there were still people left inside. Reporters were trying their best to relay the situation to the public while some were interviewing witnesses.,neutral,neutral
Agad naman kaming kumilos matapos niyang sabihin 'yon. The four of us were dressed in police uniforms so we could observe and investigate better.,neutral,neutral
"""Reina, come with me,"" Hayate said while pointing at the facility. ""Kana, inform us immediately once you detect any changes in temperature, pressure, humidity or anything around here. Hiroshi, secure the perimeter. I also want to see the explosion itself, as well as its details, so recreate it using one of your programs.""",neutral,neutral
Tumango kaming lahat sa plano ni Hayate at nagsimula kaming dalawa na maglakad papunta sa facility. It was still burning but the fire was starting to get smaller. We marched inside and went to the opposite side of the building.,neutral,neutral
Makapal pa ang usok sa loob pero napatigil ako nang may makita akong kakaiba sa sahig. Pinulot ko 'yon at mukhang tama nga ang hinala namin kanin.,neutral,neutral
"Clutching the fragments of the phone, I breathed deeply and used my sixth sense. The phone got destroyed 34 minutes ago and that must be also the time the explosion happened.",neutral,neutral
"""This is surely done by a humdrum,"" rinig ko kay Hiroshi mula sa communication device sa tenga ko.",neutral,neutral
Lumabas kami ni Hayate at nakita namin sina Kana at Hiroshi sa bandang gilid. We decided to go home first to plan our action. This kind of crime might be considered as S-level due to the extent of its casualties and the panic it caused in the city and the people.,neutral,neutral
"""I already sent a piece of residue I found inside the facility. We just have to wait for the confirmation of the Technology department but based on its structure, it's probably similar to Semtex—a plastic explosive,"" Hayate explained.",neutral,neutral
"He played the footage around 45 minutes ago. There were ten people, mostly staffs and visitors, who went inside and left the facility before the explosion. At exactly 3:48 P.M., a loud blast was heard, destroying the whole building and causing a fire. Some bystanders were caught in the explosion and they got thrown away by the shock and impact.",neutral,neutral
The explosion two days ago caused widespread apprehension because of its huge media coverage and the nature of the incident. Some voiced out their concerns in social media and thought it might not end here.,neutral,neutral
We already got the information regarding our suspects but most of them had alibis at the time of the explosion. Only four people didn't have any proof regarding their whereabouts during the incident and we were still monitoring them in case something strange happened.,neutral,neutral
"""Okay. We'll contact you once we narrowed down the probable source or supplier of the culprit.""",neutral,neutral
"Hayate ended the call and I stared at the facility that was reduced to ruins. There were police officers and investigators roaming around the area, which was declared off-limits, so I opted to watch and observe from a distance.",neutral,neutral
"Nandito ako ngayon sa rooftop ng building na ilang metro ang layo mula sa facility. We surmised that they might either return at the crime scene or go to the hospital where the victims are. Kana and I went to the crime scene and hospital, respectively, to see whether some of the suspects would show up.",neutral,neutral
Tumayo naman muna ako at tinanaw ang paligid. The streets beyond this area were crowded with humdrums and busy establishments. I didn't know weekends could be this hectic outside our world.,neutral,neutral
"Stepping back to reset my plan of attack, I saw the Shinigami who ambushed me. I drew both of my swords and took a defensive stance. Just when I was about to ask who he was, I realized he was one of the Reapers who attacked us before.",neutral,fear
"I remembered how Kana propelled his sickle right into his comrade's chest. If he was alone, the other one he had rescued must have been in a critical situation or already dead.",neutral,neutral
"With a series of short and long tap signals, I sent a message to Hayate by tapping my earpiece to inform them of what was happening in this area.",neutral,neutral
"Before I could react to his answer, he swung his Claymore, a medieval type of sword, at my direction but I fended it off with my twin swords. However, I didn't expect the weight of his attack. He hit them so hard that the impact made my whole body buckle.",neutral,neutral
Sobrang bilis ng mga sumunod na nangyari. Ang alam ko lang ay nawala na lang bigla ang Shinigami habang nasa harapan ko na si Kana.,neutral,neutral
She was panting as she held her sickle in an offensive position. Lumingon siya sa akin at doon ko lang na-realize na nakahiga na pala ako sa lapag at hindi ko maigalaw ang kanang binti ko.,neutral,neutral
Tinulungan niya akong makatayo at napatingin kami sa pagsabog na nangyari kanina kaya nagmadali kami papunta ro'n. We set aside our Shinigami encounter and prioritized this incident first.,neutral,neutral
Nang makarating kami ro'n ay wala pa ring firefighters kaya lalo lang kumakalat ang apoy. The main explosion also triggered ignition of electrical wires in the vicinity. May mga taong nagkusang-loob na tulungan ang mga nasaktan sa pagsabog habang ang iba naman ay patuloy na tumatawag ng tulong.,neutral,neutral
"After a few minutes, Hiroshi and Hayate arrived. They were both carrying suitcases and I was sure their devices were all there.",neutral,neutral
"""Are there any Senshin officer in the response and rescue team who are coming?"" tanong ni Hiroshi matapos niyang ibaba ang hawak niyang case.",neutral,neutral
He pressed some buttons at the side of his case and a radar appeared on its surface. Fifteen dots came into view and he marked them with some sort of codes so that the Senshin officer could lead the rescue team to their positions.,neutral,neutral
"""Reina, Kana, search for any of the suspects in the vicinity,"" Hayate ordered. ""I'm sure quite a few of them are here.""",neutral,neutral
Tiningnan ko ulit ang list of suspects namin mula sa unang case. I went to the rooftop of the opposite building for a better view and he was right. Two of the suspects were loitering near the crime scene.,neutral,neutral
Kana and I followed the four suspects for a few hours since we couldn't apprehend them yet without solid evidence. Sina Hiroshi at Hayate naman ang naiwan sa crime scene para i-analyze ang pagsabog na nangyari at para tulungan ang police officers at rescue team.,neutral,neutral
"Dahil gabi na ay hindi naging madali ang pagsunod sa suspects, lalo na at tig-dalawa kami ng kailangang i-observe. We went home around midnight to share the information we had gathered to each other.",neutral,neutral
"The four suspects we saw lingering around the bar before and during the explosion were: Desiree Doras, a friend of an employee in the facility for the disabled; Ronald Tadeo, one of the caretakers; Ramon Jose Tuazon, a visitor who happened to be a retired general; and Patricia Ibañez, another visitor.",neutral,neutral
"""Doras was lurking around the bar. It seemed like she was waiting for someone inside,"" dagdag ni Kana. ""On the other hand, Tuazon just left the bar when the explosion happened. He looked perturbed but he stayed around.""",neutral,neutral
We tried gathering more information about those four individuals but I was starting to get distracted because of the chilly night. Halos 2 A.M. na pero gising pa rin kaming lahat at alam kong bukod sa case ay nasa isip din nila ang nangyari kanina.,neutral,neutral
"After I said those words, I knew I just shattered their concentration and got their attention. Panigurado namang gusto rin nilang malaman ang tungkol do'n.",neutral,neutral
Napaisip naman ako sa sinabi niya. Our tribe has influential clans that have the power and authority to oversee the Senshins.,neutral,neutral
"There are four main clans are: Shou clan, the root and leading family of the Senshin tribe; Heren clan, one of the oldest and powerful family that can read closed minds; Jikko clan, a group of warriors who isolated themselves to the world and became Executioners; and the Querino clan, the experts on tracking and luring Shinigamis.",neutral,neutral
"""According to Mom's data, there was a clan in the West which specializes in counterintelligence and reconnaissance—the Hansen clan. Those were the Senshins who were always stationed in intelligence agency like FBI, MI6, IB and NSA.""",neutral,neutral
We followed Hayate even though we had no idea about his plan. He said we were going to the third exhibition. That meant another explosion was bound to happen.,neutral,neutral
Binuksan ko ang files ng suspects at muli kong binasa ang mga nakuha naming information tungkol sa kanila.,neutral,neutral
"Desiree Doras is a chemical engineer who got fired from her job because of her attitude toward her co-employees. She was in the facility, where the first explosion happened, because of her friend who was admitted there. During the second explosion, it seemed like she was waiting for someone according to the guard who saw her.",neutral,neutral
Ronald Tadeo was one of the caretakers in the facility for the disabled but some patients dislike him because of his indifference. He narrowly escaped the explosion during the first attack while he witnessed the entertainment bar getting blown up when he was with his friend.,neutral,neutral
"The third suspect was Ramon Jose Tuazon, a retired general who happened to visit the facility during the explosion. However, he was seen observing the bar from the outside during the second explosion.",neutral,neutral
Maglalakad na sana palayo si Kana pagkasabi niya no'n pero agad siyang napahinto nang muling nagsalita si Hiroshi.,neutral,neutral
"As a member of the Querino clan, we were taught about the Black Dimension since we were kids. In Tantei High, it would be introduced one semester before we go to the humdrum's world for our final requirement. During that sem, students would be trained on how to avoid that place and what to do if we encounter it.",neutral,neutral
My train of thoughts got disrupted when I heard my name. Doon ko lang na-realize na kanina pa nila ako tinatawag at nakatingin na silang tatlo sa akin.,neutral,neutral
"My eyes drifted toward the entrance and I immediately knew what he meant. It was a special school for indigenous people who lives in the city. Instead of school uniforms, most were wearing their traditional clothes while some opted for a more casual look.",neutral,neutral
"Napatingin kami sa tinuro ni Kana. Ramon Jose Tuazon, the retired general, was there. After a few seconds, another suspect came into view.",neutral,neutral
Makalipas pa ang ilang minuto ay dumating din ang dalawa pang suspects: sina Desiree Doras at Ronald Tadeo. We were waiting for something to happen or any changes in their behavior when three of them went inside the school.,neutral,neutral
"""They're making their move. Let's go.""",neutral,neutral
Agad kaming sumunod sa kanila at pumasok sa school gamit ang ibang daan. I went to the rooftop and entered through one of the windows on the topmost floor. The security in this place was too lenient that even unauthorized personnel could enter without getting caught. Someone could easily place a bomb somewhere and that person wouldn't even draw suspicions.,neutral,neutral
"Everything happened so fast and my instinct took over. The next thing I knew, Kana was already beside Hayate while I was pinning the terrorist on the floor.",neutral,neutral
Bago ko pa masabi sa kanya ang lahat ng gusto kong sabihin ay dumating si Tuazon at agad na inilagay ang phone sa tenga niya.,neutral,neutral
"""Ronald Tadeo, you're under arrest for killing dozens of people, blowing up facilities and causing widespread panic.""",neutral,neutral
"Tiningnan ko naman ang case file na nasa harapan namin. Two of the suspects, Tuazon and Ibañez, where cleared off the list. It turned out Ramon Tuazon was also monitoring Tadeo's movements because of what his friend from the facility had reported about him.",neutral,neutral
"On the other hand, Tadeo wanted to use Ibañez as the scapegoat since she already had a record. Apparently, she got convicted because she accidentally killed his husband whom she caught cheating on her. Since the mistress was an influential person, she used her power to lock her up and she kept on threatening her even after she got out.",neutral,fear
"Tadeo used that information to make her go to the places he wanted to blow up, making her one of the suspects.",neutral,neutral
Nagtuluy-tuloy naman siyang maglakad hanggang sa makasalubong niya ang dalawa.,neutral,neutral
"""But you look like you're planning something right now,"" I added. ""That's the same face you make when you're about to design a device.""",neutral,neutral
"According to Hiroshi's sources, it was once part of the main clans in the Senshin tribe before it was annihilated. Senshins couldn't salvage anything from their village and no traces were left so they were left with little to no data about the tragedy.",neutral,neutral
"Kana's background was still a mystery for us but it would be rude to ask her about it. However, her repulsive behavior against Shinigamis was a huge clue about her purpose. She got into Tantei High through a special admission and we knew people like her were either carrying a mission or relaying messages from their family or headquarters to the administration and vice versa.",neutral,neutral
"After several minutes of discussion, Hiroshi retired to his room. Hayate and I began recording and summarizing our second case but we still need Doras' statement since she provided the materials for Tadeo's bombs.",neutral,neutral
